CV_term,model,min_CE,max_CE,x axis label,modes
MS:1000657,SCIEX QSTAR XL,,,,
MS:1000658,Applied Biosystems 4800 Proteomics Analyzer,,,,
MS:1000675,Agilent 6220 Time-of-Flight LC/MS,,,,
MS:1000676,Agilent 6510 Quadrupole Time-of-Flight LC/MS,,,,
MS:1000677,Agilent 6520A Quadrupole Time-of-Flight LC/MS,,,,
MS:1000697,Bruker Daltonics Bruker Daltonics HCT Series,,,,
MS:1000743,Thermo Scientific TSQ Quantum Ultra AM,,,,
MS:1000748,Finnigan MAT SSQ 7000,,,,
MS:1000749,Finnigan MAT TSQ 7000,,,,
MS:1000750,Finnigan MAT TSQ,,,,
MS:1000751,Thermo Scientific TSQ Quantum Ultra,,,,
MS:1000818,Waters Acquity UPLC PDA,,,,
MS:1000819,Waters Acquity UPLC FLR,,,,
MS:1000854,Thermo Scientific LTQ XL,,,,
MS:1000855,Thermo Scientific LTQ Velos,,,,
MS:1000856,Thermo Scientific LTQ Velos ETD,,,,
MS:1000870,SCIEX 4000 QTRAP,,,,
MS:1000931,SCIEX QTRAP 5500,,,,
MS:1000932,SCIEX TripleTOF 5600,,,,
MS:1001482,SCIEX 5800 TOF/TOF,,,,
MS:1001510,Thermo Scientific TSQ Vantage,,,,
MS:1001533,Bruker Daltonics Bruker Daltonics esquire series,,,,
MS:1001534,Bruker Daltonics Bruker Daltonics flex series,,,,
MS:1001535,Bruker Daltonics Bruker Daltonics BioTOF series,,,,
MS:1001536,Bruker Daltonics Bruker Daltonics micrOTOF series,,,,
MS:1001545,Bruker Daltonics Bruker Daltonics amaZon series,,,,
MS:1001547,Bruker Daltonics Bruker Daltonics maXis series,,,,
MS:1001548,Bruker Daltonics Bruker Daltonics solarix series,,,,
MS:1001556,Bruker Daltonics Bruker Daltonics apex series,,,,
MS:1001742,Thermo Scientific LTQ Orbitrap Velos,,,,
MS:1001761,Waters ACQUITY UPLC,,,,
MS:1001762,Waters ACQUITY UPLC H-Class,,,,
MS:1001763,Waters ACQUITY UPLC H-Class Bio,,,,
MS:1001764,Waters ACQUITY UPLC I-Class,,,,
MS:1001765,Waters ACQUITY UPLC Systems with 2D Technology,,,,
MS:1001766,Waters nanoACQUITY UPLC,,,,
MS:1001767,Waters nanoACQUITY UPLC System with 1D Technology,,,,
MS:1001768,Waters nanoACQUITY UPLC with HDX Technology,,,,
MS:1001769,Waters TRIZAIC UPLC nanoTile,,,,
MS:1001770,Waters GCT Premier,,,,
MS:1001771,Waters MALDI Synapt G2 HDMS,,,,
MS:1001772,Waters MALDI Synapt G2 MS,,,,
MS:1001773,Waters MALDI Synapt G2-S HDMS,,,,
MS:1001774,Waters MALDI Synapt G2-S MS,,,,
MS:1001775,Waters MALDI Synapt HDMS,,,,
MS:1001776,Waters MALDI Synapt MS,,,,
MS:1001777,Waters Synapt G2 HDMS,,,,
MS:1001778,Waters Synapt G2 MS,,,,
MS:1001779,Waters Synapt G2-S HDMS,,,,
MS:1001780,Waters Synapt G2-S MS,,,,
MS:1001781,Waters Synapt HDMS,,,,
MS:1001782,Waters Synapt MS,,,,
MS:1001783,Waters Xevo G2 Q-Tof,,,,
MS:1001784,Waters Xevo G2 Tof,,,,
MS:1001785,Waters Xevo Q-Tof,,,,
MS:1001786,Waters 3100,,,,
MS:1001787,Waters Acquity SQD,,,,
MS:1001788,Waters Acquity TQD,,,,
MS:1001789,Waters Quattro micro GC,,,,
MS:1001790,Waters Xevo TQ MS,,,,
MS:1001791,Waters Xevo TQD,,,,
MS:1001792,Waters Xevo TQ-S,,,,
MS:1001801,LECO Pegasus HRT,,,,
MS:1001802,LECO Citius HRT,,,,
MS:1001803,LECO Pegasus,,,,
MS:1001804,LECO TruTOF,,,,
MS:1001908,Thermo Scientific ISQ,,,,
MS:1001909,Thermo Scientific Velos Plus,,,,
MS:1001910,Thermo Scientific LTQ Orbitrap Elite,,,,
MS:1001911,Thermo Scientific Q Exactive,,,,
MS:1001945,LECO Pegasus 4D,,,,
MS:1002274,Waters SQ Detector 2,,,,
MS:1002275,Waters Xevo G2-S Tof,,,,
MS:1002276,Waters Xevo G2-S QTof,,,,
MS:1002277,Waters AutoSpec Premier,,,,
MS:1002278,LECO Pegasus III,,,,
MS:1002293,Bruker Daltonics Bruker Daltonics SCION series,,,,
MS:1002294,Bruker Daltonics Bruker Daltonics EVOQ series,,,,
MS:1002382,Shimadzu MALDI-TOF Shimadzu MALDI-7090,,,,
MS:1002416,Thermo Scientific Orbitrap Fusion,,,,
MS:1002417,Thermo Scientific Orbitrap Fusion ETD,,,,
MS:1002418,Thermo Scientific TSQ Quantiva,,,,
MS:1002419,Thermo Scientific TSQ Endura,,,,
MS:1002444,Agilent 6420 Triple Quadrupole LC/MS,,,,
MS:1002445,Agilent 6460 Triple Quadrupole LC/MS,,,,
MS:1002446,Agilent 6490 Triple Quadrupole LC/MS,,,,
MS:1002523,Thermo Scientific Q Exactive HF,0,60,Normalized Collision Energy,PRM;SRM
MS:1002525,Thermo Scientific TSQ 8000 Evo,,,,
MS:1002526,Thermo Scientific Exactive Plus,,,,
MS:1002533,SCIEX TripleTOF 6600,,,,
MS:1002577,SCIEX 2000 QTRAP,,,,
MS:1002578,SCIEX 2500 QTRAP,,,,
MS:1002579,SCIEX 3500 QTRAP,,,,
MS:1002580,SCIEX QTRAP 4500,,,,
MS:1002581,SCIEX QTRAP 6500,,,,
MS:1002582,SCIEX QTRAP 6500+,,,,
MS:1002583,SCIEX TripleTOF 4600,,,,
MS:1002584,SCIEX TripleTOF 5600+,,,,
MS:1002585,SCIEX API 100,,,,
MS:1002586,SCIEX API 100LC,,,,
MS:1002587,SCIEX API 165,,,,
MS:1002588,SCIEX API 300,,,,
MS:1002589,SCIEX API 350,,,,
MS:1002590,SCIEX API 365,,,,
MS:1002591,SCIEX Triple Quad 3500,,,,
MS:1002592,SCIEX Triple Quad 4500,,,,
MS:1002593,SCIEX Triple Quad 5500,,,,
MS:1002594,SCIEX Triple Quad 6500,,,,
MS:1002595,SCIEX Triple Quad 6500+,,,,
MS:1002634,Thermo Scientific Q Exactive Plus,,,,
MS:1002674,SCIEX X500R QTOF,,,,
MS:1002719,LECO Pegasus BT,,,,
MS:1002726,Waters SYNAPT G2-Si,,,,
MS:1002727,Waters MALDI SYNAPT G2-Si,,,,
MS:1002728,Waters Vion IMS QTof,,,,
MS:1002729,Waters Xevo G2 XS Tof,,,,
MS:1002730,Waters Xevo TQ-XS,,,,
MS:1002731,Waters Xevo TQ-S micro,,,,
MS:1002732,Thermo Scientific Orbitrap Fusion Lumos,,,,
MS:1002783,Agilent 6550 iFunnel Q-TOF LC/MS,,,,
MS:1002784,Agilent 6550A iFunnel Q-TOF LC/MS,,,,
MS:1002785,Agilent 6520B Q-TOF LC/MS,,,,
MS:1002786,Agilent 6530A Q-TOF LC/MS,,,,
MS:1002787,Agilent 6530B Q-TOF LC/MS,,,,
MS:1002788,Agilent 6538 Q-TOF LC/MS,,,,
MS:1002789,Agilent 6540 Q-TOF LC/MS,,,,
MS:1002790,Agilent 6542 Q-TOF LC/MS,,,,
MS:1002791,Agilent 6545 Q-TOF LC/MS,0,100,Collision Energy,PRM;SRM
MS:1002792,Agilent 6560 Q-TOF LC/MS,,,,
MS:1002793,Agilent 6570 Q-TOF LC/MS,,,,
MS:1002794,Agilent 6120B Quadrupole LC/MS,,,,
MS:1002795,Agilent 6150 Quadrupole LC/MS,,,,
MS:1002796,Agilent 6224 Time-of-Flight LC/MS,,,,
MS:1002797,Agilent 6230A Time-of-Flight LC/MS,,,,
MS:1002798,Agilent 6230B Time-of-Flight LC/MS,,,,
MS:1002799,Agilent 6430 Triple Quadrupole LC/MS,,,,
MS:1002800,Agilent 6495A Triple Quadrupole LC/MS,,,,
MS:1002801,Agilent 6495B Triple Quadrupole LC/MS,,,,
MS:1002802,Agilent 7000A Triple Quadrupole GC/MS,,,,
MS:1002803,Agilent 7000B Triple Quadrupole GC/MS,,,,
MS:1002804,Agilent 7800 Quadrupole ICP-MS,,,,
MS:1002805,Agilent 8800 Triple Quadrupole ICP-MS,,,,
MS:1002835,Thermo Scientific LTQ Orbitrap Classic,,,,
MS:1002874,Thermo Scientific TSQ Altis,,,,
MS:1002875,Thermo Scientific TSQ Quantis,,,,
MS:1002876,Thermo Scientific TSQ 9000,,,,
MS:1002877,Thermo Scientific Q Exactive HF-X,,,,
