instrument,class,adduct,fragment,ParKey,ParValue
MS:1002523,10-HDoHE,[M-H]1-,m/z 299.2378,sdlog,0.141713096314908
MS:1002523,10-HDoHE,[M-H]1-,m/z 299.2378,shift,46.225681548061
MS:1002791,10-HDoHE,[M-H]1-,m/z 299.2378,meanlog,2.30362306661485
MS:1002791,10-HDoHE,[M-H]1-,m/z 299.2378,model,dlnormPar
MS:1002791,10-HDoHE,[M-H]1-,m/z 299.2378,scale,0.092471760713017
MS:1002791,10-HDoHE,[M-H]1-,m/z 299.2378,sdlog,0.867745171225787
MS:1002791,10-HDoHE,[M-H]1-,m/z 299.2378,shift,-6.30391461528968
MS:1002523,10-HDoHE,[M-H]1-,m/z 325.2171,meanlog,6.00592140061183
MS:1002523,10-HDoHE,[M-H]1-,m/z 325.2171,model,dlnormPar
MS:1002523,10-HDoHE,[M-H]1-,m/z 325.2171,scale,0.256958837917249
MS:1002523,10-HDoHE,[M-H]1-,m/z 325.2171,sdlog,2.14486799779158
MS:1002523,10-HDoHE,[M-H]1-,m/z 325.2171,shift,-9.83553378498768
MS:1002791,10-HDoHE,[M-H]1-,m/z 325.2171,meanlog,1.83376755732706
MS:1002791,10-HDoHE,[M-H]1-,m/z 325.2171,model,dlnormPar
MS:1002791,10-HDoHE,[M-H]1-,m/z 325.2171,scale,0.0949941588463632
MS:1002791,10-HDoHE,[M-H]1-,m/z 325.2171,sdlog,0.970135031531859
MS:1002791,10-HDoHE,[M-H]1-,m/z 325.2171,shift,-8.37006905616847
MS:1002523,10-HDoHE,[M-H]1-,m/z 59.0139,meanlog,1.93552843077502
MS:1002523,10-HDoHE,[M-H]1-,m/z 59.0139,model,dlnormPar
MS:1002523,10-HDoHE,[M-H]1-,m/z 59.0139,scale,0.018365115990099
MS:1002523,10-HDoHE,[M-H]1-,m/z 59.0139,sdlog,0.738194422431859
MS:1002523,10-HDoHE,[M-H]1-,m/z 59.0139,shift,-7.65232972367895
MS:1002791,10-HDoHE,[M-H]1-,m/z 59.0139,meanlog,1.50597073890209
MS:1002791,10-HDoHE,[M-H]1-,m/z 59.0139,model,dlnormPar
MS:1002791,10-HDoHE,[M-H]1-,m/z 59.0139,scale,0.0391068638814975
MS:1002791,10-HDoHE,[M-H]1-,m/z 59.0139,sdlog,0.709209564268355
MS:1002791,10-HDoHE,[M-H]1-,m/z 59.0139,shift,-7.40774749055403
MS:1002523,10-HDoHE,[M-H]1-,precursor,meanlog,4.0689351569638
MS:1002523,10-HDoHE,[M-H]1-,precursor,model,dlnormPar
MS:1002523,10-HDoHE,[M-H]1-,precursor,scale,0.640347116985054
MS:1002523,10-HDoHE,[M-H]1-,precursor,sdlog,0.731090835666477
MS:1002523,10-HDoHE,[M-H]1-,precursor,shift,-8.4113563882425
MS:1002791,10-HDoHE,[M-H]1-,precursor,meanlog,3.18407042812831
MS:1002791,10-HDoHE,[M-H]1-,precursor,model,dlnormPar
MS:1002791,10-HDoHE,[M-H]1-,precursor,scale,2
MS:1002791,10-HDoHE,[M-H]1-,precursor,sdlog,0.180665816064378
MS:1002791,10-HDoHE,[M-H]1-,precursor,shift,20.6767756332133
MS:1002523,11(12)-EET,[M-H]1-,m/z 149.0970,meanlog,5.691195431
MS:1002523,11(12)-EET,[M-H]1-,m/z 149.0970,model,dlnormPar
MS:1002523,11(12)-EET,[M-H]1-,m/z 149.0970,scale,0.074737879
MS:1002523,11(12)-EET,[M-H]1-,m/z 149.0970,sdlog,0.05179708
MS:1002523,11(12)-EET,[M-H]1-,m/z 149.0970,shift,250
MS:1002791,11(12)-EET,[M-H]1-,m/z 149.0970,meanlog,5.520463647
MS:1002791,11(12)-EET,[M-H]1-,m/z 149.0970,model,dlnormPar
MS:1002791,11(12)-EET,[M-H]1-,m/z 149.0970,scale,0.082254469
MS:1002791,11(12)-EET,[M-H]1-,m/z 149.0970,sdlog,0.06864174
MS:1002791,11(12)-EET,[M-H]1-,m/z 149.0970,shift,210.4647173
MS:1002523,11(12)-EET,[M-H]1-,m/z 167.1076,meanlog,5.63537854
MS:1002523,11(12)-EET,[M-H]1-,m/z 167.1076,model,dlnormPar
MS:1002523,11(12)-EET,[M-H]1-,m/z 167.1076,scale,0.332969756
MS:1002523,11(12)-EET,[M-H]1-,m/z 167.1076,sdlog,0.049104172
MS:1002523,11(12)-EET,[M-H]1-,m/z 167.1076,shift,250
MS:1002791,11(12)-EET,[M-H]1-,m/z 167.1076,meanlog,3.595810988
MS:1002791,11(12)-EET,[M-H]1-,m/z 167.1076,model,dlnormPar
MS:1002791,11(12)-EET,[M-H]1-,m/z 167.1076,scale,0.317599741
MS:1002791,11(12)-EET,[M-H]1-,m/z 167.1076,sdlog,0.241442018
MS:1002791,11(12)-EET,[M-H]1-,m/z 167.1076,shift,18.59660266
MS:1002523,11(12)-EET,[M-H]1-,m/z 179.1076,meanlog,5.599228225
MS:1002523,11(12)-EET,[M-H]1-,m/z 179.1076,model,dlnormPar
MS:1002523,11(12)-EET,[M-H]1-,m/z 179.1076,scale,0.168463148
MS:1002523,11(12)-EET,[M-H]1-,m/z 179.1076,sdlog,0.046159005
MS:1002523,11(12)-EET,[M-H]1-,m/z 179.1076,shift,250
MS:1002791,11(12)-EET,[M-H]1-,m/z 179.1076,meanlog,2.936886991
MS:1002791,11(12)-EET,[M-H]1-,m/z 179.1076,model,dlnormPar
MS:1002791,11(12)-EET,[M-H]1-,m/z 179.1076,scale,0.257631626
MS:1002791,11(12)-EET,[M-H]1-,m/z 179.1076,sdlog,0.526077399
MS:1002791,11(12)-EET,[M-H]1-,m/z 179.1076,shift,6.392279876
MS:1002523,11(12)-EET,[M-H]1-,m/z 203.0789,meanlog,5.589856594
